,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSteps,ActivityDay_Mon,ActivityDay_Sat,ActivityDay_Sun,ActivityDay_Thu,ActivityDay_Tue,ActivityDay_Wed
47,-0.9887227401147924,-0.9893871781164914,-0.17673550650985886,-0.574383548793758,-0.42863870416639377,-0.9120788137057023,-0.22151885849988126,-0.6556879241144339,-0.44222743692573063,-0.7761747977213221,1.1452831881756944,-1.2765635245737164,2759.0,0.0,0.0,0.0,1.0,0.0,0.0
579,-1.4506626715552162,-1.453417350056047,-0.17673550650985886,-0.574383548793758,-0.6535610176653474,-1.7135178199015744,-0.22151885849988126,-0.6556879241144339,-0.6909498895037363,-1.8589875655866388,1.5500428496774958,-0.6940733058301157,15764.0,0.0,0.0,1.0,0.0,0.0,0.0
661,-1.0867882012120824,-1.0878963774238823,-0.17673550650985886,-0.5258554358612393,-0.38365425113826235,-1.187573504017868,-0.22151885849988126,-0.5951780960835668,-0.44222743692573063,-1.3976151688440257,-1.4485516426150165,-1.790771397100962,,,,,,,
33,0.07709402525455902,0.08125232115395825,-0.17673550650985886,-0.574383548793758,-0.6535610176653474,1.2467973881920948,1.1251984419784926,-0.6556879241144339,-0.6909498895037363,0.36313254933696765,0.7540155153906197,-1.0382720714513343,9107.0,0.0,0.0,0.0,1.0,0.0,0.0
609,-0.5783961608982823,-0.5772039046084222,-0.17673550650985886,-0.574383548793758,-0.6535610176653474,-0.020477887605864532,-0.22151885849988126,-0.6556879241144339,-0.6909498895037363,-0.004082215417357141,-2.8854484409464116,-1.489771666841111,7623.0,0.0,0.0,1.0,0.0,0.0,0.0
759,1.7777556364033202,1.789609287332663,-0.17673550650985886,3.035361634239455,-0.3724081300089487,-0.42119747986388867,-0.22151885849988126,2.36980347742892,-0.39248294641012954,-0.25830782178573586,0.6190956282233526,1.0952028684923325,10988.0,0.0,0.0,0.0,0.0,0.0,1.0
398,0.5570986915223334,0.563428969372019,-0.17673550650985886,-0.574383548793758,-0.6535610176653474,-1.7135178199015744,-0.22151885849988126,-0.6556879241144339,-0.6909498895037363,-1.8589875655866388,1.5500428496774958,0.8889623125735455,7990.0,0.0,0.0,0.0,0.0,0.0,0.0
297,0.11580410097147521,0.12013755680505821,-0.17673550650985886,-0.14509638837716166,-0.36116202574880824,0.6106551960833425,1.1251984419784926,-0.11109947183663017,-0.24324947486332615,1.6813393971730055,0.1907249864672794,-0.2690505385650482,9715.0,0.0,0.0,0.0,0.0,0.0,1.0
549,0.505485216458525,0.5115819475447972,-0.17673550650985886,0.2207309900834902,0.3473432466468703,0.5705832849438799,-0.22151885849988126,1.129352002796145,0.4034289018394884,0.5043689973194003,-1.0572839698299417,-0.06280998264626134,10946.0,1.0,0.0,0.0,0.0,0.0,0.0
511,0.07709402525455902,0.08125232115395825,-0.17673550650985886,-0.4325321381708844,1.303263091669303,0.16986381139900655,-0.22151885849988126,-0.5044133540372662,1.2988297311203085,-0.022913741815014824,0.5077867213103572,0.7551846546802784,9105.0,1.0,0.0,0.0,0.0,0.0,0.0
698,-0.05968154226962068,-0.056142144653466425,-0.17673550650985886,-0.574383548793758,-0.6535610176653474,0.9863297246025396,-0.22151885849988126,-0.6556879241144339,-0.6909498895037363,1.0128202100561576,0.5212787100270839,0.0918704342928288,10081.0,0.0,1.0,0.0,0.0,0.0,0.0
934,,,,,,,,,,,,,12332.0,0.0,1.0,0.0,0.0,0.0,0.0
